1734808217851: GET: /api/users
1734808294915: GET: /api/users/3
1734808299878: GET: /api/users/1002
1734808303045: GET: /api/users/1001
1734844251053: ::1 GET: /api/users
1734844416673: ::1 GET: /api/users
1734844888453: ::1 POST: /api/users
1734845409571: ::1 POST: /api/users
1734845586054: ::1 GET: /api/users/1001343
1734853297970: ::1 POST: /api/users
1734853467966: ::1 POST: /api/users
1734853505467: ::1 POST: /api/users
1734853655764: ::1 GET: /api/users
1734853884272: ::1 GET: /api/users/6767c2b14157d0d6407e5b79
1734854142458: ::1 DELETE: /api/users/6767c2b14157d0d6407e5b79
1734854156635: ::1 GET: /api/users
